,exact_name
1273,Bering Sea
1274,Bering Sea
1275,Bering Sea
1276,Bering Sea
1277,Bering Sea
1278,Bering Sea
1279,Bering Sea
1280,Bering Sea
1281,Bering Sea
1282,Bering Sea
1283,Bering Sea
1284,Bering Sea
1285,Bering Sea
1286,Bering Sea
1287,Bering Sea
1288,Bering Sea
1289,Bering Sea
1290,Bering Sea
1291,Bering Sea
1292,Bering Sea
1293,Bering Sea
1294,Bering Sea
1295,Bering Sea
1296,Bering Sea
1297,Bering Sea
1298,Bering Sea
1299,South Pacific Ocean
1300,Bering Sea
1301,Bering Sea
1302,Bering Sea
1303,Bering Sea
1304,Bering Sea
1305,Bering Sea
1306,Bering Sea
1307,Bering Sea
1308,Bering Sea
1309,Bering Sea
1310,Bering Sea
1311,Bering Sea
1312,Bering Sea
1313,Bering Sea
1314,Bering Sea
1315,South Pacific Ocean
1316,Bering Sea
1317,Bering Sea
1318,South Pacific Ocean
1319,Bering Sea
1320,Bering Sea
1321,Bering Sea
1322,Bering Sea
1323,Bering Sea
1324,Bering Sea
1325,Bering Sea
1326,South Pacific Ocean
1327,Bering Sea
1328,Bering Sea
1329,Bering Sea
1330,Bering Sea
1331,South Pacific Ocean
1332,Bering Sea
1333,Bering Sea
1334,Bering Sea
1335,Bering Sea
1336,Bering Sea
1337,Bering Sea
1338,Bering Sea
1339,Bering Sea
1340,Bering Sea
1341,Bering Sea
1342,Bering Sea
1343,Bering Sea
1344,Bering Sea
1345,Bering Sea
1346,Bering Sea
1347,Bering Sea
1348,Bering Sea
1349,Bering Sea
1350,Bering Sea
1351,Bering Sea
1352,Bering Sea
1353,Bering Sea
1354,Bering Sea
1355,Bering Sea
1356,Bering Sea
1357,Bering Sea
1358,Bering Sea
1359,Bering Sea
1360,Bering Sea
1361,Bering Sea
1362,Bering Sea
1363,Bering Sea
1364,Bering Sea
1365,Bering Sea
1366,Bering Sea
1367,North Pacific Ocean
1368,Bering Sea
1369,Bering Sea
1370,South Pacific Ocean
1371,South Pacific Ocean
1372,Bering Sea
1373,Bering Sea
1374,Bering Sea
1375,South Pacific Ocean
1376,Bering Sea
1377,Bering Sea
